Request Plate, Response
Request Plate: GHV565, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: LAM000, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: LAM001, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ROB714, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AJT124, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: COA721, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: JJV112, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: LED195, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: MIT123, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: NAJ352, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: QWE000, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: RTQ843, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: DUL009, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: RAQ035, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: SOP002, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: SOP008, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAE802, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB409, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAD816, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCD677, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEA399, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCD703, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB278, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAC623, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABE349, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDD117, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABE376, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBD015, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB446, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE419, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD824, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABB093, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB570, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA794, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA009, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB136, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB137, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC218, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB572, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABA783, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE940, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD561, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC152, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE422, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE941, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBD133, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD562, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB057, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA798, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC154, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA799, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABA876, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD563, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA846, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACD381, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEC358, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAE735, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AEB512, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABA800, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC691, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDB973, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB209, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBC584, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAC164, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE374, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB235, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBB591, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAC061, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBC277, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE052, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBB594, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBC280, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBB596, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBC281, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAE345, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAC890, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBC454, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAE256, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAB930, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACD160, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEE224, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDC345, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEC102, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACD161, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ADA186, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
