plate;parkingId
BAC229;100
BEC610;100
AEA432;100
BEC611;100
ABB728;100
BEC612;100
BEC614;100
AAA008;100
BDA868;100
BAC239;100
BBE084;100
ACD591;100
BAC881;100
AAA013;100
AAA014;100
ABB733;100
AAA015;100
BEC618;100
BDA870;100
BAC246;100
ACD611;100
BAC247;100
BBE085;100
BEC630;100
BDA885;100
ACD619;100
BBE092;100
ABB743;100
BAC258;100
BDA889;100
BBE099;100
AEA453;100
BAC269;100
BBE105;100
AAA032;100
BDA893;100
BBE106;100
ABB752;100
ACD627;100
BAC272;100
AAA035;100
BDA897;100
ABB754;100
ABB756;100
BAC274;100
AAA037;100
AEA458;100
BEC642;100
BAC276;100
ABB757;100
ACD629;100
ACD631;100
BEC646;100
AAA039;100
AEA459;100
BEC647;100
ABB759;100
BDA898;100
AEA460;100
ACD642;100
BBE119;100
AEA477;100
ABB787;100
AAA052;100
BBE123;100
BEC664;100
ACD649;100
AAA053;100
AAA054;100
BAC299;100
BDA912;100
AEA480;100
AEA481;100
AEA482;100
BDA917;100
BAC301;100
ACD656;100
ABB796;100
AAA065;100
BAC335;100
BEC704;100
BDA955;100
ABB830;100
ABB837;100
ABB840;100
BAC348;100
BDA971;100
AEA539;100
BAC355;100
AAA109;100
BBE183;100
ABB852;100
BBE196;100
BBD438;100
BEC739;100
AEA579;100
ACD747;100
AEA593;100
BDB020;100
AEA599;100
BDB029;100
AAA158;100
BBE234;100
AAA160;100
BEC769;100
BEC770;100
AAA163;100
AAA164;100
BBE239;100
BAC402;100
ACD770;100
BDB044;100
BAC430;100
AEA631;100
ACD818;100
BDB078;100
BDB089;100
BBE288;100
BBE292;100
AAA240;100
BBE323;100
BDB129;100
AAA252;100
BAC475;100
BDB132;100
BEC860;100
ACD867;100
AEA692;100
AAA266;100
ABB972;100
BBE343;100
AAA294;100
BBE361;100
BDB162;100
BBE371;100
AEA736;100
BBE372;100
BBE374;100
BDB177;100
AAA313;100
BDB183;100
BDB187;100
ABC023;100
AAA319;100
BBE392;100
AEA762;100
BBE394;100
ABC036;100
BDA224;100
AEA773;100
AEA778;100
ABC053;100
BEC965;100
AEA786;100
BDB216;100
ABC060;100
BBE416;100
BDB217;100
ABC062;100
ABC063;100
AAA354;100
BAC553;100
BBE418;100
AAA355;100
AAA356;100
BDB219;100
ACD948;100
AEA789;100
BEC972;100
AEA793;100
BBE423;100
ABC066;100
ABC067;100
AAA362;100
ABC087;100
BEC986;100
BDB239;100
BAC582;100
ACD986;100
BBE451;100
BEC996;100
BAC594;100
AAA409;100
BBE487;100
ACE019;100
AEA866;100
BBE507;100
BDB325;100
ABC189;100
AAA463;100
AEA447;100
BBE552;100
BED100;100
AEA914;100
BBE564;100
ACE114;100
BDA877;100
ACE124;100
ACE127;100
BDB373;100
AAA485;100
AAA487;100
BED127;100
BAC692;100
BDB412;100
BED186;100
AEA971;100
ACE180;100
AEA977;100
BAC742;100
AAA546;100
BED205;100
BAC765;100
AEB001;100
BDB460;100
AEB008;100
BED226;100
BBE673;100
AAA569;100
AEB012;100
BDB470;100
AAA571;100
ACD917;100
ACE241;100
BDB499;100
AAA606;100
BAC823;100
BAC831;100
AAA361;100
ACE289;100
BDB538;100
AAA648;100
AAA650;100
ABC419;100
BAC889;100
BAC891;100
BDB627;100
AAA718;100
ABC496;100
BED398;100
BBE851;100
AEA433;100
ABC520;100
BED417;100
BAC967;100
BBE881;100
ABC539;100
AAA783;100
AEB236;100
BBE911;100
ACE479;100
BBE912;100
ACE480;100
AAA796;100
ACE481;100
AAA798;100
BBE913;100
ACE486;100
BAD004;100
BBE917;100
BED471;100
ABC561;100
ABC562;100
ABC563;100
AAA803;100
BED472;100
ACE489;100
BAD007;100
ABC564;100
AEB245;100
ACE495;100
BED474;100
BDB723;100
AEB252;100
BDB725;100
BBE920;100
BBE921;100
BBE922;100
BED476;100
BED477;100
BDB726;100
ACE496;100
BAD012;100
ABC568;100
ACE497;100
BAD014;100
ABC570;100
AAA812;100
AAA813;100
BED478;100
ACE500;100
AEB253;100
BBE925;100
ACE501;100
AEB256;100
ACE502;100
ABC572;100
ACE504;100
ABC578;100
ACE514;100
BDB741;100
BAD033;100
BED498;100
BBE941;100
ACE523;100
ACE524;100
BAD034;100
BDB746;100
AEB271;100
ABC584;100
AAA832;100
BED500;100
BAD035;100
ABC587;100
AEB273;100
BAD036;100
AEB275;100
BDB749;100
ABC588;100
AAA833;100
BAD042;100
ABC591;100
ABC592;100
ABC594;100
AAA838;100
BED508;100
BBE947;100
BDB753;100
ACE527;100
ABC596;100
ACE528;100
ABC597;100
BDB755;100
ABC599;100
BED509;100
BBE948;100
AAA842;100
ACE531;100
BAD045;100
BED511;100
BBE954;100
BBE963;100
BBE965;100
ABC620;100
BAD061;100
BBE970;100
BAD063;100
BAD064;100
BAD065;100
BAD066;100
AEB298;100
AAA861;100
BAD067;100
ACE550;100
BED533;100
BBE971;100
AEB302;100
BDB781;100
BAD068;100
ABC623;100
ABC624;100
ABC625;100
ACE553;100
AEB303;100
BAD070;100
ACE555;100
AEB304;100
AEB305;100
AEB306;100
BAD072;100
BED535;100
ABC626;100
ABC629;100
BDB791;100
ACE568;100
AEB317;100
BDB792;100
ACE569;100
BAD082;100
BED546;100
BBE990;100
BED560;100
ABC656;100
BED561;100
ABC657;100
AEB335;100
BAD093;100
ABC662;100
BCA001;100
AEB336;100
BED564;100
BED565;100
AAA888;100
ACE591;100
BDB807;100
BED568;100
ABC667;100
BED571;100
BDB808;100
AEB348;100
AAA895;100
BCA005;100
AEB351;100
ACE596;100
BDB810;100
ACE598;100
ACE599;100
BED573;100
ABC678;100
BCA016;100
BCA023;100
BCA024;100
ABC691;100
BDB834;100
ACE616;100
AAA922;100
AEB373;100
BAD124;100
ABC692;100
ABC693;100
BCA026;100
ACE617;100
BCA027;100
BCA029;100
AEB378;100
BAD129;100
ABC695;100
BDB837;100
ABC696;100
AAA929;100
AAA930;100
ABC697;100
BCA030;100
BDB838;100
BED592;100
BDB840;100
ABC698;100
ACE624;100
ABC704;100
ACE626;100
BCA036;100
BDB845;100
BED596;100
AAA940;100
BDB717;100
ABC706;100
ACE627;100
AAA941;100
ABC707;100
CAE538;100
BCA044;100
ABC720;100
ABC722;100
AAA958;100
BCA055;100
BCA056;100
ACE646;100
BED617;100
BDB858;100
BED621;100
BAD153;100
AAA959;100
BED623;100
ACE648;100
BED624;100
AEB404;100
BAD156;100
ACE650;100
AEB405;100
BED625;100
BAD158;100
AEB406;100
AAA962;100
BDB862;100
ACE651;100
BAD159;100
AAA963;100
BAD160;100
AEB408;100
AAA964;100
BED628;100
ABC725;100
BED629;100
ABC726;100
BDB863;100
BCA062;100
BAD161;100
AAA965;100
BCA063;100
BAD163;100
ABC727;100
AEB409;100
BED631;100
AEB410;100
AEB411;100
BCA067;100
AAA359;100
BDB865;100
AEB412;100
ABC730;100
AAA969;100
AEB415;100
BCA070;100
AAA973;100
ABC749;100
ACE677;100
ACE678;100
AEB426;100
BCA085;100
AEB427;100
BCA086;100
ABC750;100
BDB883;100
BCA087;100
BAD186;100
ABC751;100
BCA088;100
BAD187;100
AEB428;100
BDB884;100
BAD189;100
ABC755;100
ABC756;100
AEB429;100
AAA987;100
BED655;100
BED656;100
AEB432;100
ACE682;100
BED658;100
AAA989;100
ACE685;100
ACE686;100
BDB892;100
ABC761;100
AEB435;100
AAA993;100
ACE687;100
BDB893;100
AAA994;100
BED661;100
AEB436;100
ABC763;100
AAB014;100
AAB016;100
BED685;100
BED690;100
ACE711;100
AEB454;100
BAD223;100
BDB917;100
BCA113;100
BAD224;100
ACE714;100
AAB017;100
BAD225;100
AEB455;100
BDB920;100
AEB456;100
BDB922;100
AEB457;100
BAD227;100
AEB462;100
ABC804;100
ACE733;100
BED726;100
AEB483;100
BED728;100
BED731;100
BED732;100
AAB053;100
AEB484;100
BCA139;100
BED733;100
AAB055;100
BAD250;100
BCA142;100
BCA143;100
BDB946;100
ACE747;100
ABC813;100
ABC814;100
ACE760;100
AEB501;100
ACD777;100
AEB507;100
BDB967;100
AEB511;100
BDB968;100
BDB969;100
ACE775;100
ACE776;100
BCA170;100
AEB512;100
BDB973;100
AAB092;100
BAD276;100
ABC844;100
ABC845;100
BAD278;100
AAB095;100
BCA174;100
AEB486;100
ABC857;100
BDB986;100
ACE805;100
BCA204;100
ACE807;100
BED789;100
BAD305;100
BCA206;100
ABC868;100
BED790;100
BED791;100
AEB537;100
BCA209;100
BAD307;100
BED792;100
BDB991;100
BCA210;100
ACE809;100
AEB538;100
BCA211;100
AEB539;100
AEB540;100
ACE812;100
ACE813;100
BED794;100
ACE818;100
BED817;100
BCA232;100
AEB556;100
BDC006;100
ACE827;100
BED820;100
BED821;100
AEB559;100
AEB560;100
AEB561;100
AAB143;100
AEB562;100
ACE834;100
AAB146;100
BED824;100
BAD336;100
BAD338;100
BAD339;100
BED827;100
BCA240;100
AEB564;100
ABC889;100
BAD342;100
AAB148;100
AEB567;100
BED832;100
ABC892;100
BED833;100
ABC893;100
BCA242;100
BDC012;100
BCA244;100
AEB568;100
BAD346;100
BAD348;100
AEB569;100
BCA247;100
BCA248;100
ACE857;100
BDC025;100
BDC026;100
ACE858;100
AEB588;100
BDC027;100
ABC912;100
BAD369;100
BED851;100
AAB164;100
AEB590;100
BED852;100
ABC914;100
AAB165;100
ACE861;100
AEB591;100
ABC915;100
BDC030;100
AEB592;100
AEB593;100
BCA273;100
BED854;100
BDC031;100
AAB166;100
AEB594;100
AEB596;100
ACE865;100
ABC920;100
AEB597;100
ABC921;100
ABC922;100
AEB598;100
ABC923;100
BCA279;100
BCA281;100
AEB600;100
BED858;100
AEB601;100
AAB168;100
AAB169;100
BCA283;100
ABC927;100
BED859;100
ACE868;100
ACE869;100
BED863;100
BED874;100
AEB617;100
AAB192;100
BDC056;100
BCA297;100
ACE891;100
BED881;100
AAB196;100
BAD394;100
ABC949;100
BED884;100
BAD395;100
AAB197;100
ABC954;100
AEB623;100
AAB201;100
BED886;100
BAD399;100
AEB624;100
BAD400;100
BAD401;100
BAD402;100
ABC958;100
BED888;100
ACE894;100
ABC960;100
AAB206;100
BAD404;100
ABC961;100
AAB207;100
BAD406;100
BAD407;100
BAD408;100
BED892;100
ACE896;100
BCA302;100
ABC963;100
BED893;100
BCA303;100
BED894;100
ABC964;100
ACE898;100
BED896;100
ABC966;100
ABC967;100
BCA307;100
BDC061;100
AAB214;100
BCA309;100
BED899;100
ABC970;100
AEB637;100
AAB229;100
BCA319;100
AEB645;100
AEB647;100
AAB231;100
BDB949;100
BAD434;100
BED917;100
ABC989;100
BAD435;100
ABC990;100
BAD436;100
AEB650;100
BED919;100
BCA321;100
AEB652;100
AAB235;100
BED921;100
BDC082;100
BAD439;100
ABC992;100
BCA325;100
BCA326;100
BDC083;100
AEB657;100
ABC994;100
AAB239;100
BDC088;100
BDC091;100
BDC092;100
BAD444;100
BAD445;100
BED927;100
BDC093;100
BDC095;100
AEB664;100
ABC998;100
AAB245;100
BED930;100
BDC101;100
AEB680;100
ACE943;100
BCA346;100
BED950;100
BED952;100
BAD463;100
BAD464;100
AAB262;100
AAB263;100
BAD465;100
BDC107;100
ACE945;100
ABD018;100
AAB265;100
ACE946;100
BAD468;100
ABD021;100
ACE947;100
AEB684;100
BDC109;100
BAD469;100
BCA351;100
ABD024;100
AAB271;100
BED959;100
BED960;100
ACE952;100
BAD470;100
BED963;100
AEB687;100
AAB272;100
AAB273;100
ACE954;100
ACE955;100
ACE956;100
BED964;100
AEB691;100
BCA356;100
ABD027;100
ACE958;100
BDC114;100
BCA359;100
AAB279;100
ACE960;100
AAB280;100
AEB693;100
BAD476;100
BDC117;100
AAB282;100
ACE924;100
ABD038;100
BAD485;100
ACE970;100
BDC138;100
ACE983;100
BED991;100
ACE987;100
BDC139;100
BAD500;100
ACE989;100
ACE992;100
BAD501;100
BAD502;100
BAD504;100
ACE997;100
AAB309;100
AAB310;100
AAB311;100
AAB312;100
BDC142;100
BDC143;100
ADA000;100
ADA001;100
BCA390;100
BCA392;100
AAB314;100
ABD060;100
AEB724;100
BCA395;100
BDC145;100
BEE001;100
BAD512;100
ABD062;100
AEB726;100
ACE953;100
ABD078;100
ABD079;100
BAD531;100
BAD532;100
BCA422;100
AAB334;100
ADA020;100
AAB337;100
AEB744;100
BEE029;100
BCA424;100
AEB747;100
AAB340;100
ADA022;100
BDC166;100
ABD082;100
AAB341;100
BEE032;100
ABD083;100
ABD084;100
BCA427;100
AEB749;100
BCA428;100
BCA429;100
BEE033;100
AEB759;100
ABD096;100
BAD547;100
AEB761;100
AAB356;100
BEE047;100
BEE048;100
AEB763;100
BAD552;100
ADA033;100
BDC177;100
AEB766;100
BAD553;100
ADA034;100
AEB480;100
BEE050;100
BAD554;100
AAB359;100
AAB360;100
BAD556;100
AEB767;100
AEB768;100
BEE051;100
ABD103;100
BDC182;100
BEE054;100
ADA040;100
AEB770;100
ADA041;100
ADA042;100
ABD104;100
AAB363;100
AEB779;100
BAD559;100
BCA455;100
ADA047;100
ADA048;100
AEB780;100
BEE061;100
BDC190;100
BAD562;100
ABD111;100
AAB366;100
AAB367;100
ADA049;100
BEE063;100
AEB782;100
AAB369;100
BCA458;100
ABD112;100
BCA463;100
BEE066;100
AEB783;100
AAB374;100
BDC192;100
ABD114;100
BAD564;100
BCA476;100
ABD125;100
AAB386;100
BEE082;100
BCA481;100
AEB799;100
BCA482;100
BDC205;100
AEB801;100
ADA067;100
BDC206;100
ABD138;100
BDC207;100
AEB802;100
BEE088;100
BEE089;100
AEB803;100
BDC209;100
AEB805;100
AAB402;100
AEB806;100
BEE090;100
AEB807;100
ADA070;100
BCA484;100
BCA485;100
BDC212;100
BCA488;100
ADA072;100
AAB406;100
BEE094;100
BAD585;100
ADA074;100
ABD141;100
ABD142;100
BDC213;100
AAB408;100
ABD143;100
AAB411;100
ADA078;100
BCA490;100
AEB812;100
AAB414;100
AAB416;100
ABC890;100
BEE105;100
BAD602;100
AAB422;100
ADA087;100
AEB826;100
BDC230;100
AEB827;100
BEE106;100
ADA092;100
AAB423;100
BEE107;100
ABD161;100
AEB834;100
ABD162;100
BDC236;100
AAB429;100
BDC238;100
BEE112;100
AEB838;100
AEB839;100
BAD609;100
ABD166;100
BDC240;100
AEB842;100
ADA099;100
BEE113;100
BEE116;100
BAD611;100
ABD169;100
AEB845;100
ADA102;100
BDC246;100
BEE120;100
ADA104;100
ADA105;100
BCA506;100
BAD614;100
BEE121;100
AEB849;100
AEB850;100
BAD616;100
AEB851;100
BEE122;100
AEB852;100
ADA107;100
ADA108;100
AAB437;100
BDC249;100
ABD175;100
BEE123;100
ABD176;100
AAB438;100
BAD619;100
AAB440;100
BDC252;100
AEB853;100
AAB444;100
BEE135;100
BEE136;100
AAB462;100
AAB464;100
ADA126;100
AEB867;100
ABD199;100
AEB868;100
BEE137;100
BAD635;100
ADA128;100
BDC269;100
BEE140;100
BAD636;100
BAD637;100
ADA131;100
BEE142;100
BAD638;100
BAD642;100
BAD644;100
AEB872;100
BCA530;100
AEB873;100
BCA531;100
AEB875;100
BAD646;100
BCA534;100
AAB472;100
BDC275;100
BDC279;100
BCA538;100
ADA138;100
BEE151;100
ADA139;100
ADA140;100
AEB879;100
BAD648;100
AEB880;100
BDC280;100
BDC290;100
BEE163;100
ABD218;100
AAB482;100
ABD220;100
AEB887;100
BCA554;100
BDC295;100
BAD663;100
BEE170;100
ABD222;100
AEB889;100
BCA557;100
ADA148;100
ABD223;100
ABD224;100
AEB890;100
AAB488;100
ADA149;100
BAD666;100
BDC297;100
ABD226;100
BCA561;100
BCA562;100
BEE174;100
BAD669;100
ABD230;100
BAD670;100
ABD231;100
AEB892;100
BCA564;100
BEE180;100
BCA566;100
AEB894;100
BCA567;100
BAD673;100
AEB895;100
ADA156;100
BDC303;100
AAB501;100
AAB502;100
BAD676;100
BAD678;100
AEB898;100
AAB503;100
BEE187;100
ABD240;100
ADA158;100
AEB902;100
AAB505;100
AEB905;100
AEB906;100
BCA572;100
BAD682;100
AAB507;100
ABD242;100
ADA161;100
BAD683;100
BCA573;100
ABD244;100
ADA162;100
BCA576;100
BCA577;100
ABD245;100
BAD686;100
AEB918;100
AEB920;100
BDC314;100
BEE202;100
BAD690;100
AEB922;100
BEE205;100
BDC316;100
ABD258;100
BDC317;100
BEE058;100
ABD260;100
BCA584;100
ABD270;100
BEE209;100
AAB528;100
BDC330;100
BDC331;100
AAB530;100
AAB531;100
ABD272;100
BDC332;100
BEE211;100
BCA595;100
BAD705;100
AEB940;100
BAD707;100
BDC334;100
AEB941;100
BCA597;100
ABD277;100
BDC336;100
AAB534;100
BDC337;100
BDC338;100
ABD278;100
AAB535;100
ABD279;100
BCA599;100
AAB537;100
AAB538;100
ADA178;100
BEE216;100
BAD711;100
BAD712;100
AEB946;100
BEE219;100
AAB544;100
BEE220;100
BCA603;100
ABB792;100
ADA182;100
BDC343;100
ADA184;100
ADA185;100
BEE223;100
BEE224;100
BDC345;100
ADA186;100
BAD716;100
BCA607;100
ADA191;100
BCA609;100
AEB953;100
BCA610;100
ADA193;100
BAD721;100
ABD295;100
AEB955;100
BEE227;100
BAD723;100
BCA611;100
AEB956;100
BAD724;100
BAD725;100
AEB957;100
BEE228;100
BEE232;100
ABD300;100
AAB559;100
ABD301;100
ABD302;100
BAD726;100
BCA615;100
BEE233;100
BCA616;100
ABD303;100
ABD304;100
BDC358;100
BEE235;100
BAD729;100
ABD307;100
AEB960;100
BAD730;100
AEB961;100
BEE240;100
BAD732;100
ADA204;100
BAD733;100
AAB568;100
BAD734;100
AAB569;100
AAB570;100
AEB965;100
BDC368;100
AAB574;100
BEE244;100
ADA207;100
AEB966;100
BCA630;100
BEE246;100
BEE247;100
BEE248;100
AAB576;100
ADA208;100
BDC373;100
ADA209;100
AAB578;100
BCA632;100
ABD320;100
AAB585;100
BAD744;100
ADA218;100
AEB971;100
BDC384;100
ADA219;100
ADA220;100
BCA644;100
ADA226;100
BDC388;100
BDC389;100
BEE266;100
ADA227;100
BAD750;100
ABD329;100
AAB593;100
BEE267;100
BEE268;100
AEB977;100
ADA230;100
AEB986;100
BCA651;100
ADA233;100
BDC393;100
BAD762;100
ABD334;100
ABD335;100
BCA652;100
ABD336;100
BEE276;100
AEB987;100
ABD339;100
ABD340;100
BAD764;100
BDC396;100
AEB988;100
BCA654;100
BEE279;100
AEB989;100
ADA236;100
BAD766;100
ADA237;100
BCA656;100
BEE283;100
AEB991;100
BCA658;100
BAD769;100
BAD770;100
BDC408;100
AAB616;100
BDC411;100
BAD778;100
BDC412;100
BEE295;100
ADA251;100
BCA671;100
BCA672;100
AAB619;100
BAD786;100
ABD362;100
BAD787;100
BCA676;100
AEC007;100
BEE299;100
BEE300;100
ADA254;100
ABD367;100
BAD790;100
BDC419;100
ABD373;100
ADA262;100
ADA263;100
ABD374;100
BDC420;100
AEC015;100
ABD375;100
BAD793;100
BAD794;100
ABD376;100
BEE311;100
BCA697;100
AAB630;100
AAB631;100
ADA271;100
BEE321;100
ADA279;100
ADA281;100
ADA282;100
BDC438;100
BDC439;100
AEC028;100
AEC029;100
BAD812;100
BDC440;100
BCA713;100
AEC032;100
BEE323;100
ABD391;100
BAD816;100
ADA287;100
AAB646;100
BDC448;100
ABD392;100
AEC037;100
AAB647;100
BCA719;100
BEE325;100
AEC038;100
BAD817;100
ADA288;100
BDC450;100
ADA289;100
BDC452;100
AAB650;100
AEC042;100
AAB651;100
BAD819;100
BDC454;100
AEC043;100
ADA292;100
BAD821;100
BEE330;100
AAB655;100
BAD824;100
ADA293;100
BEE332;100
BEE333;100
AAB657;100
BEE334;100
ABD399;100
AEC045;100
ABD400;100
ABD401;100
AEC046;100
ABD402;100
AAB660;100
ADA296;100
BAD826;100
ADA297;100
BCA724;100
BEE338;100
BAD828;100
AEC050;100
BAD830;100
BEE340;100
BAD831;100
BAD832;100
ABD405;100
BDC460;100
AAB665;100
AEC052;100
AAB667;100
BAD835;100
AAB669;100
BAD836;100
ADA301;100
ABD409;100
BAD844;100
BEE351;100
BAD856;100
ADA317;100
BAD858;100
ABD424;100
AAB678;100
ABD425;100
BCA744;100
ADA318;100
BCA745;100
ABD427;100
BAD863;100
ADA319;100
BEE353;100
BEE354;100
BCA747;100
ABD428;100
AAB680;100
AAB681;100
AAB682;100
BDC473;100
BCA749;100
ABD431;100
AEC075;100
AAB684;100
AEC076;100
ADA322;100
