plateRS;parkingIdRS;uniqueIDRS;makeAutomaticPaymentRS
ROB714;100;PDPRE310720240009;false
QWE000;100;PDPRE30072024011;true
QWE000;100;PDPRE30072024001;true
AAA485;100;PDP10307240347;true
BAC582;100;PDP10307240348;true
BBE123;100;PDP10307240349;true
ABC189;100;PDP10307240350;true
CCC966;100;PDP10307240351;true
VVV828;100;PDP10307240352;true
ASF231;100;PDP10307240353;true
ASD245;100;PDP10307240354;true
ABA900;100;PDP10307240355;true
ZTK930;100;PDP10307240356;true
ZXY123;100;PDP10307240357;true
ZXY333;100;PDP10307240358;true
EEE661;100;PDP10307240359;true
ACC448;100;PDP10307240360;true
BEB979;100;PDP10307240361;true
LPL963;100;PDP10307240362;true
RRR123;100;PDP10307240363;true
HHH000;100;PDP10307240364;true
KKK888;100;PDP10307240365;true
JJJ123;100;PDP10307240366;true
SSS119;100;PDP10307240367;true
NNN155;100;PDP10307240368;true
VVV007;100;PDP10307240369;true
LLL990;100;PDP10307240370;true
AOR071;100;PDP10307240371;true
NNN123;100;PDP10307240372;true
SAS828;100;PDP10307240373;true
JJJ828;100;PDP10307240374;true
BBM562;100;PDP10307240375;true
RTG789;100;PDP10307240376;true
FTR135;100;PDP10307240377;true
FFF117;100;PDP10307240378;true
JSU111;100;PDP10307240379;true
BBD907;100;PDP10307240380;true
AFD324;100;PDP10307240381;true
ACC465;100;PDP10307240382;true
QQQ828;100;PDP10307240383;true
BBB828;100;PDP10307240384;true
AEE876;100;PDP10307240385;true
ACD321;100;PDP10307240386;true
ACD523;100;PDP10307240387;true
ACC085;100;PDP10307240388;true
BEA742;100;PDP10307240389;true
BEE046;100;PDP10307240390;true
AAC712;100;PDP10307240391;true
ABC539;100;PDP10307240392;true
BED205;100;PDP10307240393;true
ACE289;100;PDP10307240394;true
BDB412;100;PDP10307240395;true
BEE153;100;PDP10307240396;true
BBE851;100;PDP10307240397;true
BAC742;100;PDP10307240398;true
ACE241;100;PDP10307240399;true
BDB499;100;PDP10307240400;true
BED127;100;PDP10307240401;true
AAA546;100;PDP10307240402;true
LMA530;100;PDP10307240403;true
ADB293;100;PDP10307240404;true
BCB866;100;PDP10307240405;true
AEA866;100;PDP10307240406;true
AEC040;100;PDP10307240407;true
AEB302;100;PDP10307240408;true
BCB682;100;PDP10307240409;true
ADB203;100;PDP10307240410;true
BCE902;100;PDP10307240411;true
BEC291;100;PDP10307240412;true
ADD567;100;PDP10307240413;true
AAE486;100;PDP10307240414;true
AEC552;100;PDP10307240415;true
ADA074;100;PDP10307240416;true
ABD142;100;PDP10307240417;true
BDC213;100;PDP10307240418;true
AAB411;100;PDP10307240419;true
AAA487;100;PDP10307240420;true
BDB538;100;PDP10307240421;true
ADD272;100;PDP10307240422;true
BCD717;100;PDP10307240423;true
BCD718;100;PDP10307240424;true
ABC624;100;PDP10307240425;true
BDA074;100;PDP10307240426;true
ADE459;100;PDP10307240427;true
BAB088;100;PDP10307240428;true
BAD512;100;PDP10307240429;true
AEB693;100;PDP10307240430;true
AEB245;100;PDP10307240431;true
AEA460;100;PDP10307240432;true
AAA052;100;PDP10307240433;true
BED624;100;PDP10307240434;true
AEB404;100;PDP10307240435;true
AEC821;100;PDP10307240436;true
ABC625;100;PDP10307240437;true
ACE553;100;PDP10307240438;true
ABD302;100;PDP10307240439;true
CAE387;100;PDP10307240440;true
AEB373;100;PDP10307240441;true
ACE617;100;PDP10307240442;true
AEC669;100;PDP10307240443;true
CAE065;100;PDP10307240444;true
BEC071;100;PDP10307240445;true
BEA802;100;PDP10307240446;true
ADE619;100;PDP10307240447;true
BDC095;100;PDP10307240448;true
AEA477;100;PDP10307240449;true
BDC012;100;PDP10307240450;true
BBE970;100;PDP10307240451;true
BAD064;100;PDP10307240452;true
BAD065;100;PDP10307240453;true
AAB209;100;PDP10307240454;true
AQW152;100;PDP10307240455;true
ASD123;100;PDP10307240456;true
ACA158;100;PDP10307240457;true
BBB533;100;PDP10307240458;true
CAB916;100;PDP10307240459;true
CAB917;100;PDP10307240460;true
CAC118;100;PDP10307240461;true
LAM000;100;PDP10307240462;true
BDA721;100;PDP10307240463;true
ADE948;100;PDP10307240464;true
CAD833;100;PDP10307240465;true
CAC193;100;PDP10307240466;true
BBB375;100;PDP10307240467;true
ABB649;100;PDP10307240468;true
BDC164;100;PDP10307240469;true
BEA037;100;PDP10307240470;true
EEE441;100;PDP10307240471;true
EEE551;100;PDP10307240472;true
EEE771;100;PDP10307240473;true
EEE881;100;PDP10307240474;true
EEE991;100;PDP10307240475;true
ASF431;100;PDP10307240476;true
SOP011;100;PDP10307240477;true
ABA399;100;PDP10307240478;true
ADE056;100;PDP10307240479;true
ADE057;100;PDP10307240480;true
BEC441;100;PDP10307240481;true
GGG828;100;PDP10307240482;true
EEE777;100;PDP10307240483;true
PRU003;100;PDP10307240484;true
TAG003;100;PDP10307240485;true
VBJ694;100;PDP10307240486;true
JQU920;100;PDP10307240487;true
PRU015;100;PDP10307240488;true
FRA012;100;PDP10307240489;true
OOOO45;100;PDP10307240490;true
YML123;100;PDP10307240491;true
MAO456;100;PDP10307240492;true
QWE000;100;PDP10307240493;true
AJT124;100;PDP10307240494;true
RTQ843;100;PDP10307240495;true
JJV112;100;PDP10307240496;true
LED195;100;PDP10307240497;true
COA721;100;PDP10307240498;true
MIT123;100;PDP10307240499;true
ROB714;100;PDP10307240500;true
MIT523;100;PDP10307240501;true
MMM123;100;PDP10307240502;true
ACC753;100;PDP10307240503;true
AAE355;100;PDP10307240504;true
PPP888;100;PDP10307240505;true
ABB481;100;PDP10307240506;true
BEB377;100;PDP10307240507;true
BCZ985;100;PDP10307240508;true
ABC139;100;PDP10307240509;true
CAE015;100;PDP10307240510;true
BMN000;100;PDP10307240511;true
BMN001;100;PDP10307240512;true
CAA090;100;PDP10307240513;true
LFG152;100;PDP10307240514;true
EEE221;100;PDP10307240515;true
EEE331;100;PDP10307240516;true
CDR444;100;PDP10307240517;true
WWW828;100;PDP10307240518;true
BBD500;100;PDP10307240519;true
ABC185;100;PDP10307240520;true
ABC186;100;PDP10307240521;true
DUL009;100;PDP10307240522;true
RAQ035;100;PDP10307240523;true
BAD716;100;PDP10307240524;true
AAE663;100;PDP10307240525;true
BBA680;100;PDP10307240526;true
BCA174;100;PDP10307240527;true
AEB805;100;PDP10307240528;true
AAD704;100;PDP10307240529;true
ADA033;100;PDP10307240530;true
AED683;100;PDP10307240531;true
BEE850;100;PDP10307240532;true
AEB012;100;PDP10307240533;true
AAA648;100;PDP10307240534;true
AAA650;100;PDP10307240535;true
BBA228;100;PDP10307240536;true
AED464;100;PDP10307240537;true
CAA487;100;PDP10307240538;true
BBE673;100;PDP10307240539;true
AAA569;100;PDP10307240540;true
BAC831;100;PDP10307240541;true
AAA361;100;PDP10307240542;true
ADB227;100;PDP10307240543;true
AED411;100;PDP10307240544;true
BDB627;100;PDP10307240545;true
AED212;100;PDP10307240546;true
BED226;100;PDP10307240547;true
AAA606;100;PDP10307240548;true
BCB805;100;PDP10307240549;true
BDD739;100;PDP10307240550;true
BCA271;100;PDP10307240551;true
AAC713;100;PDP10307240552;true
ADB479;100;PDP10307240553;true
ABA887;100;PDP10307240554;true
AAE535;100;PDP10307240555;true
BEA298;100;PDP10307240556;true
ADD172;100;PDP10307240557;true
CAC259;100;PDP10307240558;true
CAC281;100;PDP10307240559;true
BEA316;100;PDP10307240560;true
CAC311;100;PDP10307240561;true
BCD602;100;PDP10307240562;true
BBB903;100;PDP10307240563;true
ADD246;100;PDP10307240564;true
ACB412;100;PDP10307240565;true
BBB784;100;PDP10307240566;true
BBB785;100;PDP10307240567;true
AEB900;100;PDP10307240568;true
BEB317;100;PDP10307240569;true
BBC625;100;PDP10307240570;true
CAD143;100;PDP10307240571;true
BCE882;100;PDP10307240572;true
BBA653;100;PDP10307240573;true
ABA767;100;PDP10307240574;true
