plateRSA;parkingIdRSA;uniqueIDRSA;makeAutomaticPaymentRSA
AAB169;100;PDPPATV8122024;true
BCD260;100;PDPPATC8122025;true
ABB475;100;PDPPATV8122026;true
BBD797;100;PDPPATV8122027;true
BCA609;100;PDPPATV8122028;true
BEB300;100;PDPPATV8122029;true
ACB618;100;PDPPATV8122030;true
ACC543;100;PDPPATV8122031;true
AEB953;100;PDPPATV8122032;true
BCE816;100;PDPPATV8122033;true
BCA610;100;PDPPATV8122034;true
BAD721;100;PDPPATV8122035;true
BAB197;100;PDPPATV8122036;true
ABD295;100;PDPPATV8122037;true
ACC545;100;PDPPATV8122038;true
BCE464;100;PDPPATV8122039;true
ADB069;100;PDPPATV8122040;true
AEB955;100;PDPPATV8122041;true
BCE465;100;PDPPATV8122042;true
BEE227;100;PDPPATV8122043;true
BAD723;100;PDPPATV8122044;true
ADD641;100;PDPPATV8122045;true
BAA834;100;PDPPATV8122046;true
ABA361;100;PDPPATV8122047;true
ABA362;100;PDPPATV8122048;true
BAD161;100;PDPPATV8122049;true
BEA873;100;PDPPATV8122050;true
BCE223;100;PDPPATV8122051;true
ACD140;100;PDPPATV8122052;true
ABB278;100;PDPPATV8122053;true
ABB279;100;PDPPATV8122054;true
BEC085;100;PDPPATV8122055;true
ACD149;100;PDPPATV8122056;true
ADE966;100;PDPPATV8122057;true
BCE224;100;PDPPATV8122058;true
BEA299;100;PDPPATV8122059;true
BAA622;100;PDPPATV8122060;true
ACD303;100;PDPPATV8122061;true
ACD304;100;PDPPATV8122062;true
BEC087;100;PDPPATV8122063;true
CAE045;100;PDPPATV8122064;true
BAB741;100;PDPPATV8122065;true
BDA376;100;PDPPATV8122066;true
ABB281;100;PDPPATV8122067;true
ACD151;100;PDPPATV8122068;true
ABB519;100;PDPPATV8122069;true
BEC375;100;PDPPATV8122070;true
BEA919;100;PDPPATV8122071;true
CAC938;100;PDPPATV8122072;true
ACC020;100;PDPPATV8122073;true
ABA170;100;PDPPATV8122074;true
BEA921;100;PDPPATV8122075;true
BBC614;100;PDPPATV8122076;true
AAD659;100;PDPPATV8122077;true
BCC659;100;PDPPATV8122078;true
BBE371;100;PDPPATV8122079;true
BBE372;100;PDPPATV8122080;true
BBE374;100;PDPPATV8122081;true
BCC698;100;PDPPATV8122082;true
AAB277;100;PDPPATV8122083;true
CAB478;100;PDPPATV8122084;true
AAD792;100;PDPPATV8122085;true
CAB622;100;PDPPATV8122086;true
BDC408;100;PDPPATV8122087;true
BAD564;100;PDPPATV8122088;true
CAA034;100;PDPPATV8122089;true
BDD217;100;PDPPATV8122090;true
BAE664;100;PDPPATV8122091;true
AEC937;100;PDPPATV8122092;true
AEA153;100;PDPPATV8122093;true
ABB442;100;PDPPATV8122094;true
BCE946;100;PDPPATV8122095;true
BBD142;100;PDPPATV8122096;true
BDA560;100;PDPPATV8122097;true
AAC499;100;PDPPATV8122098;true
BAB913;100;PDPPATV8122099;true
CAA145;100;PDPPATV8122100;true
BAE723;100;PDPPATV8122101;true
ADA987;100;PDPPATV8122102;true
CAE234;100;PDPPATV8122103;true
ACD333;100;PDPPATV8122104;true
BBD299;100;PDPPATV8122105;true
ABB561;100;PDPPATV8122106;true
BEB733;100;PDPPATV8122107;true
AEB429;100;PDPPATV8122108;true
BAB044;100;PDPPATV8122109;true
ACA524;100;PDPPATV8122110;true
BCE762;100;PDPPATV8122111;true
AAA798;100;PDPPATV8122112;true
ADE316;100;PDPPATV8122113;true
BEB553;100;PDPPATV8122114;true
BBD118;100;PDPPATV8122115;true
ADE461;100;PDPPATV8122116;true
ACC634;100;PDPPATV8122117;true
ACC487;100;PDPPATV8122118;true
BCE622;100;PDPPATV8122119;true
BAA901;100;PDPPATV8122120;true
BAB316;100;PDPPATV8122121;true
BCE540;100;PDPPATV8122122;true
ABA418;100;PDPPATV8122123;true
BBC853;100;PDPPATV8122124;true
ACC344;100;PDPPATV8122125;true
BCE959;100;PDPPATV8122126;true
BBC895;100;PDPPATV8122127;true
BBD079;100;PDPPATV8122128;true
AEB335;100;PDPPATV8122129;true
ACE954;100;PDPPATV8122130;true
ACE955;100;PDPPATV8122131;true
ACE956;100;PDPPATV8122132;true
BAD093;100;PDPPATV8122133;true
ABC662;100;PDPPATV8122134;true
BCA001;100;PDPPATV8122135;true
AEB336;100;PDPPATV8122136;true
AEB691;100;PDPPATV8122137;true
ACC625;100;PDPPATV8122138;true
BED565;100;PDPPATV8122139;true
AAA888;100;PDPPATV8122140;true
ADE429;100;PDPPATV8122141;true
BEB509;100;PDPPATV8122142;true
ACC592;100;PDPPATV8122143;true
BCA356;100;PDPPATV8122144;true
ACE591;100;PDPPATV8122145;true
CAD500;100;PDPPATV8122146;true
BDB807;100;PDPPATV8122147;true
ABD027;100;PDPPATV8122148;true
ACE958;100;PDPPATV8122149;true
ABA740;100;PDPPATV8122150;true
ACC271;100;PDPPATV8122151;true
BCE557;100;PDPPATV8122152;true
ACC594;100;PDPPATV8122153;true
CAD198;100;PDPPATV8122154;true
BBC736;100;PDPPATV8122155;true
BAB247;100;PDPPATV8122156;true
ACC068;100;PDPPATV8122157;true
CAB008;100;PDPPATV8122158;true
AAD329;100;PDPPATV8122159;true
BDE055;100;PDPPATV8122160;true
ACB829;100;PDPPATV8122161;true
ACB830;100;PDPPATV8122162;true
BBC296;100;PDPPATV8122163;true
BAB746;100;PDPPATV8122164;true
BCE077;100;PDPPATV8122165;true
AAE987;100;PDPPATV8122166;true
CAE046;100;PDPPATV8122167;true
BCA386;100;PDPPATV8122168;true
BBA595;100;PDPPATV8122169;true
ABA058;100;PDPPATV8122170;true
BCE326;100;PDPPATV8122171;true
BEE090;100;PDPPATV8122172;true
CAC840;100;PDPPATV8122173;true
BAA558;100;PDPPATV8122174;true
ACC071;100;PDPPATV8122175;true
BCC432;100;PDPPATV8122176;true
BEA971;100;PDPPATV8122177;true
AED766;100;PDPPATV8122178;true
BBA597;100;PDPPATV8122179;true
AED767;100;PDPPATV8122180;true
ACB764;100;PDPPATV8122181;true
BEA670;100;PDPPATV8122182;true
AEB807;100;PDPPATV8122183;true
ADA070;100;PDPPATV8122184;true
ADD791;100;PDPPATV8122185;true
AEA067;100;PDPPATV8122186;true
AEE301;100;PDPPATV8122187;true
ABB846;100;PDPPATV8122188;true
AEB243;100;PDPPATV8122189;true
BBE103;100;PDPPATV8122190;true
BEA998;100;PDPPATV8122191;true
ACC581;100;PDPPATV8122192;true
CAA279;100;PDPPATV8122193;true
AAE159;100;PDPPATV8122194;true
ACA911;100;PDPPATV8122195;true
BDE904;100;PDPPATV8122196;true
ABD405;100;PDPPATV8122197;true
BCA768;100;PDPPATV8122198;true
AAB386;100;PDPPATV8122199;true
BBB657;100;PDPPATV8122200;true
BDE541;100;PDPPATV8122201;true
AED528;100;PDPPATV8122202;true
CAB534;100;PDPPATV8122203;true
ADC396;100;PDPPATV8122204;true
AAB444;100;PDPPATV8122205;true
BCE516;100;PDPPATV8122206;true
ADD085;100;PDPPATV8122207;true
AEA763;100;PDPPATV8122208;true
BBA284;100;PDPPATV8122209;true
BDC551;100;PDPPATV8122210;true
CAB409;100;PDPPATV8122211;true
ABA817;100;PDPPATV8122212;true
BDC109;100;PDPPATV8122213;true
BDA321;100;PDPPATV8122214;true
BBC768;100;PDPPATV8122215;true
BCE964;100;PDPPATV8122216;true
ABB650;100;PDPPATV8122217;true
BAA909;100;PDPPATV8122218;true
ADE106;100;PDPPATV8122219;true
CAD585;100;PDPPATV8122220;true
BEB597;100;PDPPATV8122221;true
ABA641;100;PDPPATV8122222;true
BAA416;100;PDPPATV8122223;true
