plateRSA;parkingIdRSA;uniqueIDRSA;makeAutomaticPaymentRSA
ACB721;100;PDPTPSI8152363;true
BEA632;100;PDPTPSI8152364;true
BAA462;100;PDPTPSI8152365;true
BCE083;100;PDPTPSI8152366;true
CAC743;100;PDPTPSI8152367;true
CAC718;100;PDPTPSI8152368;true
BCE036;100;PDPTPSI8152369;true
BCD988;100;PDPTPSI8152370;true
BEA717;100;PDPTPSI8152371;true
ADD361;100;PDPTPSI8152372;true
AAC357;100;PDPTPSI8152373;true
AEB001;100;PDPTPSI8152374;true
BDB460;100;PDPTPSI8152375;true
ABC496;100;PDPTPSI8152376;true
BED417;100;PDPTPSI8152377;true
ADA326;100;PDPTPSI8152378;true
BCE302;100;PDPTPSI8152379;true
BDC814;100;PDPTPSI8152380;true
BEC996;100;PDPTPSI8152381;true
ACB997;100;PDPTPSI8152382;true
BAE894;100;PDPTPSI8152383;true
CAB137;100;PDPTPSI8152384;true
BAA052;100;PDPTPSI8152385;true
BAA054;100;PDPTPSI8152386;true
CAC261;100;PDPTPSI8152387;true
ACB329;100;PDPTPSI8152388;true
ACB346;100;PDPTPSI8152389;true
ACB469;100;PDPTPSI8152390;true
ADD287;100;PDPTPSI8152391;true
AAE545;100;PDPTPSI8152392;true
ACB348;100;PDPTPSI8152393;true
ADD180;100;PDPTPSI8152394;true
BBB833;100;PDPTPSI8152395;true
CAC293;100;PDPTPSI8152396;true
AAE653;100;PDPTPSI8152397;true
BBB960;100;PDPTPSI8152398;true
BEA309;100;PDPTPSI8152399;true
BAA302;100;PDPTPSI8152400;true
BEA564;100;PDPTPSI8152401;true
CAC626;100;PDPTPSI8152402;true
ACB623;100;PDPTPSI8152403;true
ADA297;100;PDPTPSI8152404;true
BBC162;100;PDPTPSI8152405;true
BAA343;100;PDPTPSI8152406;true
BEA600;100;PDPTPSI8152407;true
BAA344;100;PDPTPSI8152408;true
BEE338;100;PDPTPSI8152409;true
BAD828;100;PDPTPSI8152410;true
ACB692;100;PDPTPSI8152411;true
BAD935;100;PDPTPSI8152412;true
BEA602;100;PDPTPSI8152413;true
ADD467;100;PDPTPSI8152414;true
CAC627;100;PDPTPSI8152415;true
BAD936;100;PDPTPSI8152416;true
BAD937;100;PDPTPSI8152417;true
BCD955;100;PDPTPSI8152418;true
CAC642;100;PDPTPSI8152419;true
BEE408;100;PDPTPSI8152420;true
ACB681;100;PDPTPSI8152421;true
ADD480;100;PDPTPSI8152422;true
BBC174;100;PDPTPSI8152423;true
BDC541;100;PDPTPSI8152424;true
ADA328;100;PDPTPSI8152425;true
BAA208;100;PDPTPSI8152426;true
BDC480;100;PDPTPSI8152427;true
CAD464;100;PDPTPSI8152428;true
ABA712;100;PDPTPSI8152429;true
CAD465;100;PDPTPSI8152430;true
AAC291;100;PDPTPSI8152431;true
AAC292;100;PDPTPSI8152432;true
BDD104;100;PDPTPSI8152433;true
CAA391;100;PDPTPSI8152434;true
ADB289;100;PDPTPSI8152435;true
ABE397;100;PDPTPSI8152436;true
BDD437;100;PDPTPSI8152437;true
BAE905;100;PDPTPSI8152438;true
BDD436;100;PDPTPSI8152439;true
BAE528;100;PDPTPSI8152440;true
ABB483;100;PDPTPSI8152441;true
AAC315;100;PDPTPSI8152442;true
BAB970;100;PDPTPSI8152443;true
BAE515;100;PDPTPSI8152444;true
AEC738;100;PDPTPSI8152445;true
BEC346;100;PDPTPSI8152446;true
ADA951;100;PDPTPSI8152447;true
BBD805;100;PDPTPSI8152448;true
ABE043;100;PDPTPSI8152449;true
ACD363;100;PDPTPSI8152450;true
BAE517;100;PDPTPSI8152451;true
BBD806;100;PDPTPSI8152452;true
AEC739;100;PDPTPSI8152453;true
AEA192;100;PDPTPSI8152454;true
AEC719;100;PDPTPSI8152455;true
BBD807;100;PDPTPSI8152456;true
ABE050;100;PDPTPSI8152457;true
ADA974;100;PDPTPSI8152458;true
CAA037;100;PDPTPSI8152459;true
BAE535;100;PDPTPSI8152460;true
ADA975;100;PDPTPSI8152461;true
AAC295;100;PDPTPSI8152462;true
BCB340;100;PDPTPSI8152463;true
BAE512;100;PDPTPSI8152464;true
AEC711;100;PDPTPSI8152465;true
BBD808;100;PDPTPSI8152466;true
AAE073;100;PDPTPSI8152467;true
BDA666;100;PDPTPSI8152468;true
BBD853;100;PDPTPSI8152469;true
ABB531;100;PDPTPSI8152470;true
ACD406;100;PDPTPSI8152471;true
ACD407;100;PDPTPSI8152472;true
BDA668;100;PDPTPSI8152473;true
BBD854;100;PDPTPSI8152474;true
BBD855;100;PDPTPSI8152475;true
AEA235;100;PDPTPSI8152476;true
