plateRS;parkingIdRS;uniqueIDRS;makeAutomaticPaymentRS
MIT123;100;PDPAPPC8122024;false
NAJ352;100;PDPAPPV8122025;false
QWE000;100;PDPAPPV8122026;false
RAQ035;100;PDPAPPV8122027;false
ROB714;100;PDPAPPV8122028;false
RTQ843;100;PDPAPPV8122029;false
SOP002;100;PDPAPPV8122030;false
SOP008;100;PDPAPPV8122031;false
DUL009;100;PDPAPPV8122032;false
COA721;100;PDPAPPV8122033;false
JJV112;100;PDPAPPV8122034;false
LAM000;100;PDPAPPV8122035;false
LAM001;100;PDPAPPV8122036;false
LED195;100;PDPAPPV8122037;false
