plateRSSE;parkingIdRSSE;uniqueIDRSSE;makeAutomaticPaymentRSSE
CAC613;100;PDPPSSEC8122024;true
AAE802;100;PDPPSSEV8122025;true
CAC215;100;PDPPSSEV8122026;true
ACB409;100;PDPPSSEV8122027;true
AAE596;100;PDPPSSEV8122028;true
BAD816;100;PDPPSSEV8122029;true
ACB530;100;PDPPSSEV8122030;true
ACB431;100;PDPPSSEV8122031;true
ADD320;100;PDPPSSEV8122032;true
BCD677;100;PDPPSSEV8122033;true
BEA399;100;PDPPSSEV8122034;true
BCD703;100;PDPPSSEV8122035;true
ADA208;100;PDPPSSEV8122036;true
ACB278;100;PDPPSSEV8122037;true
ACB279;100;PDPPSSEV8122038;true
BAA026;100;PDPPSSEV8122039;true
AAC623;100;PDPPSSEV8122040;true
AEA149;100;PDPPSSEV8122041;true
BDD389;100;PDPPSSEV8122042;true
CAE228;100;PDPPSSEV8122043;true
AAC625;100;PDPPSSEV8122044;true
AEC781;100;PDPPSSEV8122045;true
ADA999;100;PDPPSSEV8122046;true
BCB654;100;PDPPSSEV8122047;true
ABE079;100;PDPPSSEV8122048;true
ABE349;100;PDPPSSEV8122049;true
BAE537;100;PDPPSSEV8122050;true
BDD117;100;PDPPSSEV8122051;true
ABE376;100;PDPPSSEV8122052;true
ADE362;100;PDPPSSEV8122053;true
ACC522;100;PDPPSSEV8122054;true
BBD015;100;PDPPSSEV8122055;true
BEB446;100;PDPPSSEV8122056;true
CAD869;100;PDPPSSEV8122057;true
BDA897;100;PDPPSSEV8122058;true
ADE776;100;PDPPSSEV8122059;true
BCE419;100;PDPPSSEV8122060;true
CAD824;100;PDPPSSEV8122061;true
ABB093;100;PDPPSSEV8122062;true
BEB570;100;PDPPSSEV8122063;true
BAA794;100;PDPPSSEV8122064;true
BAA009;100;PDPPSSEV8122065;true
BEB136;100;PDPPSSEV8122066;true
BEB137;100;PDPPSSEV8122067;true
ACC218;100;PDPPSSEV8122068;true
BEB572;100;PDPPSSEV8122069;true
ABA783;100;PDPPSSEV8122070;true
BCE940;100;PDPPSSEV8122071;true
CAD561;100;PDPPSSEV8122072;true
ACC152;100;PDPPSSEV8122073;true
BCE422;100;PDPPSSEV8122074;true
BCE941;100;PDPPSSEV8122075;true
BBD133;100;PDPPSSEV8122076;true
CAD562;100;PDPPSSEV8122077;true
BEB057;100;PDPPSSEV8122078;true
BAA798;100;PDPPSSEV8122079;true
ACC154;100;PDPPSSEV8122080;true
BAA799;100;PDPPSSEV8122081;true
ABA876;100;PDPPSSEV8122082;true
CAD563;100;PDPPSSEV8122083;true
BAA846;100;PDPPSSEV8122084;true
ACD381;100;PDPPSSEV8122085;true
BEC358;100;PDPPSSEV8122086;true
AAE735;100;PDPPSSEV8122087;true
AEB512;100;PDPPSSEV8122088;true
ABA800;100;PDPPSSEV8122089;true
