plateRSSE;parkingIdRSSE;uniqueIDRSSE;makeAutomaticPaymentRSSE
COA721;100;PDPSSE3007202401;true
KGL627;100;PDPSSE20703240095;true
ASD132;100;PDPSSE20703240096;true
BEC517;100;PDPSSE20703240097;true
ACD818;100;PDPSSE20703240098;true
ACC385;100;PDPSSE20703240099;true
ABA541;100;PDPSSE20703240100;true
CAE458;100;PDPSSE20703240101;true
ALB127;100;PDPSSE20703240102;true
AEB008;100;PDPSSE20703240103;true
BCA459;100;PDPSSE20703240104;true
AAE510;100;PDPSSE20703240105;true
BAA101;100;PDPSSE20703240106;true
CAC790;100;PDPSSE20703240107;true
BBC632;100;PDPSSE20703240108;true
BBD240;100;PDPSSE20703240109;true
ACD141;100;PDPSSE20703240110;true
ABE654;100;PDPSSE20703240111;true
BCB903;100;PDPSSE20703240112;true
ADB446;100;PDPSSE20703240113;true
AED287;100;PDPSSE20703240114;true
CAA681;100;PDPSSE20703240115;true
AAD135;100;PDPSSE20703240116;true
BEE000;100;PDPSSE20703240117;true
ADC834;100;PDPSSE20703240118;true
BCB305;100;PDPSSE20703240119;true
BCB394;100;PDPSSE20703240120;true
CAA032;100;PDPSSE20703240121;true
BAE492;100;PDPSSE20703240122;true
ABE403;100;PDPSSE20703240123;true
ADA979;100;PDPSSE20703240124;true
CAD676;100;PDPSSE20703240125;true
BAD468;100;PDPSSE20703240126;true
BEC664;100;PDPSSE20703240127;true
BBD009;100;PDPSSE20703240128;true
BAD156;100;PDPSSE20703240129;true
ABD244;100;PDPSSE20703240130;true
AAC354;100;PDPSSE20703240131;true
AAC504;100;PDPSSE20703240132;true
AAA571;100;PDPSSE20703240133;true
ABD976;100;PDPSSE20703240134;true
AEC662;100;PDPSSE20703240135;true
BDD269;100;PDPSSE20703240136;true
AAC655;100;PDPSSE20703240137;true
AEC692;100;PDPSSE20703240138;true
CAA088;100;PDPSSE20703240139;true
AAC302;100;PDPSSE20703240140;true
ADB057;100;PDPSSE20703240141;true
AAC427;100;PDPSSE20703240142;true
ADA920;100;PDPSSE20703240143;true
ADB236;100;PDPSSE20703240144;true
BBD499;100;PDPSSE20703240145;true
BAB261;100;PDPSSE20703240146;true
BEB676;100;PDPSSE20703240147;true
ACD440;100;PDPSSE20703240148;true
BCC430;100;PDPSSE20703240149;true
CAB057;100;PDPSSE20703240150;true
BAB761;100;PDPSSE20703240151;true
BDC297;100;PDPSSE20703240152;true
BDA976;100;PDPSSE20703240153;true
BAE559;100;PDPSSE20703240154;true
CAE509;100;PDPSSE20703240155;true
ADC426;100;PDPSSE20703240156;true
BEB910;100;PDPSSE20703240157;true
AAD302;100;PDPSSE20703240158;true
ADE816;100;PDPSSE20703240159;true
BEB409;100;PDPSSE20703240160;true
ADB150;100;PDPSSE20703240161;true
ACC389;100;PDPSSE20703240162;true
ABE375;100;PDPSSE20703240163;true
BEC008;100;PDPSSE20703240164;true
ADB964;100;PDPSSE20703240165;true
CAE343;100;PDPSSE20703240166;true
BDB781;100;PDPSSE20703240167;true
HHH199;100;PDPSSE20703240168;true
HHH511;100;PDPSSE20703240169;true
HHH211;100;PDPSSE20703240170;true
CCC933;100;PDPSSE20703240171;true
CCC944;100;PDPSSE20703240172;true
CCC955;100;PDPSSE20703240173;true
BVB678;100;PDPSSE20703240174;true
PLP123;100;PDPSSE20703240175;true
ZXY321;100;PDPSSE20703240176;true
SOP000;100;PDPSSE20703240177;true
BAB176;100;PDPSSE20703240178;true
FIX047;100;PDPSSE20703240179;true
BCE501;100;PDPSSE20703240180;true
ABC987;100;PDPSSE20703240181;true
ZXY111;100;PDPSSE20703240182;true
ZXY222;100;PDPSSE20703240183;true
ZZZ999;100;PDPSSE20703240184;true
LAM001;100;PDPSSE20703240185;true
GHV565;100;PDPSSE20703240186;true
ACC252;100;PDPSSE20703240187;true
BCE797;100;PDPSSE20703240188;true
BAB178;100;PDPSSE20703240189;true
ADB991;100;PDPSSE20703240190;true
BCE884;100;PDPSSE20703240191;true
BCE886;100;PDPSSE20703240192;true
BDE987;100;PDPSSE20703240193;true
SOP007;100;PDPSSE20703240194;true
SOP999;100;PDPSSE20703240195;true
BEA556;100;PDPSSE20703240196;true
ACC156;100;PDPSSE20703240197;true
ACC173;100;PDPSSE20703240198;true
BCE798;100;PDPSSE20703240199;true
BBD007;100;PDPSSE20703240200;true
ADC267;100;PDPSSE20703240201;true
BAB122;100;PDPSSE20703240202;true
BDE415;100;PDPSSE20703240203;true
BBA914;100;PDPSSE20703240204;true
ADA886;100;PDPSSE20703240205;true
ACC810;100;PDPSSE20703240206;true
AEA264;100;PDPSSE20703240207;true
CAD288;100;PDPSSE20703240208;true
CAE455;100;PDPSSE20703240209;true
BAB028;100;PDPSSE20703240210;true
BBC856;100;PDPSSE20703240211;true
CAE038;100;PDPSSE20703240212;true
BAB732;100;PDPSSE20703240213;true
CAD347;100;PDPSSE20703240214;true
BAA881;100;PDPSSE20703240215;true
ABB124;100;PDPSSE20703240216;true
ABA933;100;PDPSSE20703240217;true
BEB686;100;PDPSSE20703240218;true
BDA045;100;PDPSSE20703240219;true
BAB081;100;PDPSSE20703240220;true
ADE262;100;PDPSSE20703240221;true
BBD113;100;PDPSSE20703240222;true
ADE479;100;PDPSSE20703240223;true
ADC134;100;PDPSSE20703240224;true
BAB095;100;PDPSSE20703240225;true
AAD415;100;PDPSSE20703240226;true
ACD257;100;PDPSSE20703240227;true
ABB729;100;PDPSSE20703240228;true
ABB390;100;PDPSSE20703240229;true
BBD711;100;PDPSSE20703240230;true
CAE359;100;PDPSSE20703240231;true
ACD442;100;PDPSSE20703240232;true
BAB161;100;PDPSSE20703240233;true
ABB574;100;PDPSSE20703240234;true
BAA585;100;PDPSSE20703240235;true
BBD000;100;PDPSSE20703240236;true
BEC429;100;PDPSSE20703240237;true
BEC430;100;PDPSSE20703240238;true
CAE062;100;PDPSSE20703240239;true
SOP008;100;PDPSSE20703240240;true
BAC067;100;PDPSSE20703240241;true
ADE698;100;PDPSSE20703240242;true
AEE016;100;PDPSSE20703240243;true
ADE424;100;PDPSSE20703240244;true
CAD659;100;PDPSSE20703240245;true
ACC251;100;PDPSSE20703240246;true
BCE529;100;PDPSSE20703240247;true
ABA905;100;PDPSSE20703240248;true
III123;100;PDPSSE20703240249;true
CCC828;100;PDPSSE20703240250;true
AWE123;100;PDPSSE20703240251;true
ASD212;100;PDPSSE20703240252;true
BAA801;100;PDPSSE20703240253;true
ABA304;100;PDPSSE20703240254;true
EUK123;100;PDPSSE20703240255;true
BAA805;100;PDPSSE20703240256;true
BAA856;100;PDPSSE20703240257;true
SOP111;100;PDPSSE20703240258;true
SOP113;100;PDPSSE20703240259;true
SOP010;100;PDPSSE20703240260;true
ABB184;100;PDPSSE20703240261;true
ADE355;100;PDPSSE20703240262;true
YYY828;100;PDPSSE20703240263;true
BED475;100;PDPSSE20703240264;true
BAB379;100;PDPSSE20703240265;true
AAE317;100;PDPSSE20703240266;true
ZZZ828;100;PDPSSE20703240267;true
BEB367;100;PDPSSE20703240268;true
BCE476;100;PDPSSE20703240269;true
CAB094;100;PDPSSE20703240270;true
BDA124;100;PDPSSE20703240271;true
BEC491;100;PDPSSE20703240272;true
BBD803;100;PDPSSE20703240273;true
ADE003;100;PDPSSE20703240274;true
BEB082;100;PDPSSE20703240275;true
ACC735;100;PDPSSE20703240276;true
ACC741;100;PDPSSE20703240277;true
BBD961;100;PDPSSE20703240278;true
BAB384;100;PDPSSE20703240279;true
ACD000;100;PDPSSE20703240280;true
BCE895;100;PDPSSE20703240281;true
CAD122;100;PDPSSE20703240282;true
BEB109;100;PDPSSE20703240283;true
BBA843;100;PDPSSE20703240284;true
BRK895;100;PDPSSE20703240285;true
BBD878;100;PDPSSE20703240286;true
BAB636;100;PDPSSE20703240287;true
ACC612;100;PDPSSE20703240288;true
GTY567;100;PDPSSE20703240289;true
ALS124;100;PDPSSE20703240290;true
YYH123;100;PDPSSE20703240291;true
JJJ000;100;PDPSSE20703240292;true
III288;100;PDPSSE20703240293;true
JJM116;100;PDPSSE20703240294;true
GLY908;100;PDPSSE20703240295;true
KMQ209;100;PDPSSE20703240296;true
EHM968;100;PDPSSE20703240297;true
KOV002;100;PDPSSE20703240298;true
KWR630;100;PDPSSE20703240299;true
KBQ210;100;PDPSSE20703240300;true
HTU042;100;PDPSSE20703240301;true
ASG142;100;PDPSSE20703240302;true
FRT123;100;PDPSSE20703240303;true
JQT968;100;PDPSSE20703240304;true
EMP762;100;PDPSSE20703240305;true
