Request Plate, Response
Request Plate: GHV565, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: LAM000, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: LAM001, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ROB714, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AJT124, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: COA721, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: JJV112, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: LED195, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: MIT123, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: NAJ352, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: QWE000, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: RTQ843, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: DUL009, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: RAQ035, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: SOP002, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: SOP008, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAC613, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAE802, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAC215, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB409, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAE596, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAD816, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB530, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB431, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ADD320, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCD677, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEA399, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCD703, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ADA208, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB278, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACB279, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA026, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAC623, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AEA149, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDD389, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAE228, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAC625, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AEC781, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ADA999, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCB654, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABE079, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABE349, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAE537, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDD117, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABE376, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ADE362, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC522, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBD015, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB446, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD869, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDA897, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ADE776, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE419, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD824, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABB093, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB570, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA794, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA009, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB136, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB137, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC218, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB572, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABA783, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE940, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD561, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC152, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE422, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BCE941, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BBD133, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD562, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB057, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA798, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC154, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA799, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABA876, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: CAD563, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BAA846, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACD381, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEC358, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AAE735, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: AEB512, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ABA800, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: ACC691, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BDB973, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
Request Plate: BEB209, Response: {"is_automatic_payment":true,"message":"Usuario encontrado"}
